order_id,customer_id,transaction_date,product_category,amount,tax,status,is_loyalty_member
1001,CUST-001,2026-01-10,Electronics,120.50,12.05,COMPLETED,true
1002,CUST-002,2026-01-11,Home,45.00,4.50,COMPLETED,false
1003,CUST-003,2026-01-12,Apparel,25.99,,PENDING,true
1004,CUST-004,2026-01-13,Electronics,99999.00,9999.90,COMPLETED,false
1005,,2026-01-14,Books,12.00,1.20,REFUNDED,true
1006,CUST-006,2026-01-15,Electronics,150.00,15.00,COMPLETED,false
1007,CUST-007,,Home,35.50,3.55,PENDING,
1008,CUST-008,2026-01-17,Apparel,85.00,8.50,COMPLETED,true
1009,CUST-009,2026-01-18,Books,18.50,1.85,COMPLETED,false
1009,CUST-009,2026-01-18,Books,18.50,1.85,COMPLETED,false
1011,CUST-011,2026-01-20,Electronics,-50.00,0.00,FAILED,false
1012,CUST-012,2026-01-21,Electronics,210.00,21.00,COMPLETED,true
1013,CUST-013,2026-01-22,Home,60.00,6.00,,true
1014,CUST-014,2026-01-23,Apparel,75.00,7.50,COMPLETED,false
1015,CUST-015,2026-01-24,Electronics,450.00,45.00,COMPLETED,true
