sensor_id,timestamp,temperature_c,pressure_kpa,humidity_pct,device_status
SN-A1,2026-02-01 00:00:00,21.5,101.3,45.2,ONLINE
SN-A2,2026-02-01 00:00:00,22.1,101.2,44.8,ONLINE
SN-A3,2026-02-01 00:00:00,21.8,101.4,46.1,ONLINE
SN-A4,2026-02-01 00:00:00,850.0,101.3,45.0,FAULT
SN-A5,2026-02-01 00:00:00,,101.5,47.2,ONLINE
SN-A6,2026-02-01 00:00:00,21.9,,45.5,ONLINE
SN-A7,2026-02-01 00:00:00,22.0,101.3,,ONLINE
SN-A8,2026-02-01 00:00:00,-150.0,101.2,45.8,FAULT
SN-A9,2026-02-01 00:00:00,22.4,101.3,44.9,ONLINE
SN-A10,2026-02-01 00:00:00,22.2,101.1,45.3,ONLINE
